B C# 0.0928798
I G# 0.1393197
M Cm 0.1857596
M Cm 0.2321995
M Cm 0.2786395
M Cm 0.3250794
M Cm 0.3715193
M Cm 0.4179592
M Cm 0.4643991
M Cm 0.5108390
M Cm 0.5572789
M Cm 0.6037188
M Cm 0.6501587
M Cm 0.6965986
M Cm 0.7430385
M Cm 0.7894785
M Cm 0.8359184
M Cm 0.8823583
M Cm 0.9287982
M Cm 0.9752381
M Cm 1.0216780
M Cm 1.0681179
M Cm 1.1145578
M Cm 1.1609977
M Cm 1.2074376
M Cm 1.2538776
M Cm 1.3003175
M Cm 1.3467574
M Cm 1.3931973
M Cm 1.4396372
M Cm 1.4860771
M Cm 1.5325170
M Cm 1.5789569
M Cm 1.6253968
M Cm 1.6718367
M Cm 1.7182766
M Cm 1.7647166
M Cm 1.8111565
M Cm 1.8575964
M Cm 1.9040363
M Cm 1.9504762
M Cm 1.9969161
M Cm 2.0433560
M Cm 2.0897959
M Cm 2.1362358
M Cm 2.1826757
M Cm 2.2291156
M Cm 2.2755556
M Cm 2.3219955
M Cm 2.3684354
M Cm 2.4148753
M Cm 2.4613152
M Cm 2.5077551
M Cm 2.5541950
M Cm 2.6006349
M Cm 2.6470748
M Cm 2.6935147
M Cm 2.7399546
M Cm 2.7863946
M Cm 2.8328345
M Cm 2.8792744
M Cm 2.9257143
M Cm 2.9721542
M Cm 3.0185941
M Cm 3.0650340
M Cm 3.1114739
M Cm 3.1579138
M Cm 3.2043537
M Cm 3.2507937
M Cm 3.2972336
M Cm 3.3436735
M Cm 3.3901134
M Cm 3.4365533
M Cm 3.4829932
M Cm 3.5294331
M Cm 3.5758730
M Cm 3.6223129
M Cm 3.6687528
M Cm 3.7151927
M Cm 3.7616327
M Cm 3.8080726
M Cm 3.8545125
M Cm 3.9009524
M Cm 3.9473923
M Cm 3.9938322
M Cm 4.0402721
M Cm 4.0867120
M Cm 4.1331519
M Cm 4.1795918
M Cm 4.2260317
M Cm 4.2724717
M Cm 4.3189116
M Cm 4.3653515
M Cm 4.4117914
M Cm 4.4582313
M Cm 4.5046712
M Cm 4.5511111
M Cm 4.5975510
M Cm 4.6439909
M Cm 4.6904308
M Cm 4.7368707
M Cm 4.7833107
M Cm 4.8297506
M Cm 4.8761905
M Cm 4.9226304
M Cm 4.9690703
M Cm 5.0155102
M Cm 5.0619501
M Cm 5.1083900
M Cm 5.1548299
M Cm 5.2012698
M Cm 5.2477098
M Cm 5.2941497
M Cm 5.3405896
M Cm 5.3870295
M Cm 5.4334694
M Cm 5.4799093
M Cm 5.5263492
M Cm 5.5727891
M Cm 5.6192290
M Cm 5.6656689
M Cm 5.7121088
M Cm 5.7585488
M Cm 5.8049887
M Cm 5.8514286
M Cm 5.8978685
M Cm 5.9443084
M Cm 5.9907483
M Cm 6.0371882
M Cm 6.0836281
M Cm 6.1300680
M Cm 6.1765079
M Cm 6.2229478
M Cm 6.2693878
M Cm 6.3158277
M Cm 6.3622676
M Cm 6.4087075
M Cm 6.4551474
M Cm 6.5015873
M Cm 6.5480272
M Cm 6.5944671
M Cm 6.6409070
M Cm 6.6873469
M Cm 6.7337868
M Cm 6.7802268
M Cm 6.8266667
M Cm 6.8731066
M Cm 6.9195465
M Cm 6.9659864
M Cm 7.0124263
M Cm 7.0588662
M Cm 7.1053061
M Cm 7.1517460
M Cm 7.1981859
M Cm 7.2446259
M Cm 7.2910658
M Cm 7.3375057
J A 7.3839456
J A 7.4303855
J A 7.4768254
J A 7.5232653
J A 7.5697052
J A 7.6161451
J A 7.6625850
J A 7.7090249
J A 7.7554649
J A 7.8019048
J A 7.8483447
J A 7.8947846
J A 7.9412245
J A 7.9876644
J A 8.0341043
J A 8.0805442
J A 8.1269841
J A 8.1734240
