D D# 0.0928798
V Am 0.1393197
V Am 0.1857596
V Am 0.2321995
V Am 0.2786395
V Am 0.3250794
V Am 0.3715193
V Am 0.4179592
V Am 0.4643991
V Am 0.5108390
V Am 0.5572789
V Am 0.6037188
V Am 0.6501587
V Am 0.6965986
V Am 0.7430385
V Am 0.7894785
V Am 0.8359184
V Am 0.8823583
V Am 0.9287982
V Am 0.9752381
V Am 1.0216780
V Am 1.0681179
V Am 1.1145578
V Am 1.1609977
V Am 1.2074376
V Am 1.2538776
V Am 1.3003175
V Am 1.3467574
V Am 1.3931973
V Am 1.4396372
V Am 1.4860771
V Am 1.5325170
V Am 1.5789569
V Am 1.6253968
V Am 1.6718367
V Am 1.7182766
V Am 1.7647166
V Am 1.8111565
V Am 1.8575964
V Am 1.9040363
V Am 1.9504762
V Am 1.9969161
V Am 2.0433560
V Am 2.0897959
V Am 2.1362358
V Am 2.1826757
V Am 2.2291156
V Am 2.2755556
V Am 2.3219955
V Am 2.3684354
V Am 2.4148753
V Am 2.4613152
V Am 2.5077551
V Am 2.5541950
V Am 2.6006349
V Am 2.6470748
V Am 2.6935147
V Am 2.7399546
V Am 2.7863946
V Am 2.8328345
V Am 2.8792744
V Am 2.9257143
V Am 2.9721542
V Am 3.0185941
V Am 3.0650340
V Am 3.1114739
V Am 3.1579138
V Am 3.2043537
V Am 3.2507937
V Am 3.2972336
V Am 3.3436735
V Am 3.3901134
V Am 3.4365533
V Am 3.4829932
V Am 3.5294331
V Am 3.5758730
V Am 3.6223129
V Am 3.6687528
V Am 3.7151927
V Am 3.7616327
V Am 3.8080726
V Am 3.8545125
V Am 3.9009524
V Am 3.9473923
V Am 3.9938322
V Am 4.0402721
V Am 4.0867120
V Am 4.1331519
V Am 4.1795918
V Am 4.2260317
V Am 4.2724717
V Am 4.3189116
V Am 4.3653515
V Am 4.4117914
V Am 4.4582313
V Am 4.5046712
V Am 4.5511111
V Am 4.5975510
V Am 4.6439909
V Am 4.6904308
V Am 4.7368707
V Am 4.7833107
V Am 4.8297506
V Am 4.8761905
V Am 4.9226304
V Am 4.9690703
V Am 5.0155102
V Am 5.0619501
V Am 5.1083900
V Am 5.1548299
V Am 5.2012698
V Am 5.2477098
V Am 5.2941497
V Am 5.3405896
V Am 5.3870295
V Am 5.4334694
V Am 5.4799093
V Am 5.5263492
V Am 5.5727891
V Am 5.6192290
V Am 5.6656689
V Am 5.7121088
V Am 5.7585488
V Am 5.8049887
V Am 5.8514286
V Am 5.8978685
V Am 5.9443084
V Am 5.9907483
V Am 6.0371882
V Am 6.0836281
V Am 6.1300680
V Am 6.1765079
V Am 6.2229478
V Am 6.2693878
V Am 6.3158277
V Am 6.3622676
V Am 6.4087075
V Am 6.4551474
V Am 6.5015873
V Am 6.5480272
V Am 6.5944671
V Am 6.6409070
V Am 6.6873469
V Am 6.7337868
V Am 6.7802268
V Am 6.8266667
V Am 6.8731066
V Am 6.9195465
V Am 6.9659864
V Am 7.0124263
V Am 7.0588662
V Am 7.1053061
V Am 7.1517460
V Am 7.1981859
V Am 7.2446259
V Am 7.2910658
V Am 7.3375057
V Am 7.3839456
V Am 7.4303855
V Am 7.4768254
V Am 7.5232653
V Am 7.5697052
V Am 7.6161451
V Am 7.6625850
V Am 7.7090249
V Am 7.7554649
V Am 7.8019048
V Am 7.8483447
V Am 7.8947846
V Am 7.9412245
V Am 7.9876644
V Am 8.0341043
V Am 8.0805442
V Am 8.1269841
V Am 8.1734240
V Am 8.2198639
V Am 8.2663039
V Am 8.3127438
V Am 8.3591837
V Am 8.4056236
V Am 8.4520635
V Am 8.4985034
V Am 8.5449433
V Am 8.5913832
V Am 8.6378231
V Am 8.6842630
V Am 8.7307029
V Am 8.7771429
V Am 8.8235828
V Am 8.8700227
V Am 8.9164626
V Am 8.9629025
V Am 9.0093424
V Am 9.0557823
V Am 9.1022222
V Am 9.1486621
V Am 9.1951020
V Am 9.2415420
V Am 9.2879819
V Am 9.3344218
V Am 9.3808617
V Am 9.4273016
V Am 9.4737415
V Am 9.5201814
V Am 9.5666213
V Am 9.6130612
V Am 9.6595011
V Am 9.7059410
V Am 9.7523810
V Am 9.7988209
V Am 9.8452608
V Am 9.8917007
V Am 9.9381406
V Am 9.9845805
V Am 10.0310204
V Am 10.0774603
V Am 10.1239002
V Am 10.1703401
V Am 10.2167800
V Am 10.2632200
V Am 10.3096599
V Am 10.3560998
V Am 10.4025397
V Am 10.4489796
V Am 10.4954195
V Am 10.5418594
V Am 10.5882993
V Am 10.6347392
V Am 10.6811791
V Am 10.7276190
V Am 10.7740590
V Am 10.8204989
V Am 10.8669388
V Am 10.9133787
V Am 10.9598186
V Am 11.0062585
V Am 11.0526984
V Am 11.0991383
V Am 11.1455782
V Am 11.1920181
V Am 11.2384580
V Am 11.2848980
V Am 11.3313379
V Am 11.3777778
V Am 11.4242177
V Am 11.4706576
V Am 11.5170975
V Am 11.5635374
V Am 11.6099773
V Am 11.6564172
V Am 11.7028571
V Am 11.7492971
V Am 11.7957370
V Am 11.8421769
V Am 11.8886168
V Am 11.9350567
V Am 11.9814966
V Am 12.0279365
V Am 12.0743764
V Am 12.1208163
V Am 12.1672562
V Am 12.2136961
V Am 12.2601361
V Am 12.3065760
V Am 12.3530159
V Am 12.3994558
V Am 12.4458957
V Am 12.4923356
V Am 12.5387755
V Am 12.5852154
V Am 12.6316553
V Am 12.6780952
V Am 12.7245351
V Am 12.7709751
V Am 12.8174150
V Am 12.8638549
V Am 12.9102948
V Am 12.9567347
V Am 13.0031746
V Am 13.0496145
V Am 13.0960544
V Am 13.1424943
V Am 13.1889342
V Am 13.2353741
V Am 13.2818141
V Am 13.3282540
V Am 13.3746939
V Am 13.4211338
V Am 13.4675737
V Am 13.5140136
V Am 13.5604535
V Am 13.6068934
V Am 13.6533333
V Am 13.6997732
V Am 13.7462132
V Am 13.7926531
V Am 13.8390930
V Am 13.8855329
V Am 13.9319728
V Am 13.9784127
V Am 14.0248526
V Am 14.0712925
V Am 14.1177324
V Am 14.1641723
V Am 14.2106122
V Am 14.2570522
V Am 14.3034921
V Am 14.3499320
V Am 14.3963719
V Am 14.4428118
V Am 14.4892517
V Am 14.5356916
V Am 14.5821315
V Am 14.6285714
V Am 14.6750113
V Am 14.7214512
V Am 14.7678912
V Am 14.8143311
V Am 14.8607710
V Am 14.9072109
V Am 14.9536508
V Am 15.0000907
V Am 15.0465306
V Am 15.0929705
V Am 15.1394104
V Am 15.1858503
V Am 15.2322902
V Am 15.2787302
V Am 15.3251701
V Am 15.3716100
V Am 15.4180499
V Am 15.4644898
V Am 15.5109297
V Am 15.5573696
V Am 15.6038095
V Am 15.6502494
V Am 15.6966893
V Am 15.7431293
V Am 15.7895692
V Am 15.8360091
V Am 15.8824490
V Am 15.9288889
V Am 15.9753288
V Am 16.0217687
V Am 16.0682086
V Am 16.1146485
V Am 16.1610884
V Am 16.2075283
V Am 16.2539683
V Am 16.3004082
V Am 16.3468481
V Am 16.3932880
V Am 16.4397279
V Am 16.4861678
V Am 16.5326077
V Am 16.5790476
V Am 16.6254875
V Am 16.6719274
V Am 16.7183673
V Am 16.7648073
V Am 16.8112472
V Am 16.8576871
V Am 16.9041270
V Am 16.9505669
V Am 16.9970068
V Am 17.0434467
V Am 17.0898866
V Am 17.1363265
