Q Em 0.0928798
A C 0.1393197
A C 0.1857596
A C 0.2321995
A C 0.2786395
A C 0.3250794
A C 0.3715193
A C 0.4179592
A C 0.4643991
A C 0.5108390
A C 0.5572789
A C 0.6037188
A C 0.6501587
A C 0.6965986
A C 0.7430385
A C 0.7894785
A C 0.8359184
A C 0.8823583
A C 0.9287982
A C 0.9752381
A C 1.0216780
A C 1.0681179
A C 1.1145578
A C 1.1609977
A C 1.2074376
A C 1.2538776
A C 1.3003175
A C 1.3467574
A C 1.3931973
A C 1.4396372
A C 1.4860771
A C 1.5325170
A C 1.5789569
A C 1.6253968
A C 1.6718367
A C 1.7182766
A C 1.7647166
A C 1.8111565
A C 1.8575964
A C 1.9040363
A C 1.9504762
A C 1.9969161
A C 2.0433560
A C 2.0897959
A C 2.1362358
A C 2.1826757
A C 2.2291156
A C 2.2755556
A C 2.3219955
A C 2.3684354
A C 2.4148753
A C 2.4613152
A C 2.5077551
A C 2.5541950
A C 2.6006349
A C 2.6470748
A C 2.6935147
A C 2.7399546
A C 2.7863946
A C 2.8328345
A C 2.8792744
A C 2.9257143
A C 2.9721542
A C 3.0185941
H G 3.0650340
H G 3.1114739
H G 3.1579138
H G 3.2043537
H G 3.2507937
H G 3.2972336
H G 3.3436735
H G 3.3901134
H G 3.4365533
H G 3.4829932
H G 3.5294331
H G 3.5758730
H G 3.6223129
H G 3.6687528
J A 3.7151927
J A 3.7616327
J A 3.8080726
J A 3.8545125
J A 3.9009524
J A 3.9473923
J A 3.9938322
J A 4.0402721
J A 4.0867120
J A 4.1331519
J A 4.1795918
J A 4.2260317
J A 4.2724717
J A 4.3189116
J A 4.3653515
J A 4.4117914
J A 4.4582313
J A 4.5046712
J A 4.5511111
J A 4.5975510
J A 4.6439909
J A 4.6904308
J A 4.7368707
J A 4.7833107
J A 4.8297506
J A 4.8761905
J A 4.9226304
J A 4.9690703
J A 5.0155102
J A 5.0619501
J A 5.1083900
J A 5.1548299
J A 5.2012698
J A 5.2477098
J A 5.2941497
J A 5.3405896
J A 5.3870295
J A 5.4334694
J A 5.4799093
J A 5.5263492
J A 5.5727891
J A 5.6192290
J A 5.6656689
H G 5.7121088
H G 5.7585488
H G 5.8049887
H G 5.8514286
H G 5.8978685
H G 5.9443084
H G 5.9907483
H G 6.0371882
H G 6.0836281
H G 6.1300680
H G 6.1765079
H G 6.2229478
H G 6.2693878
H G 6.3158277
H G 6.3622676
H G 6.4087075
H G 6.4551474
H G 6.5015873
H G 6.5480272
H G 6.5944671
H G 6.6409070
H G 6.6873469
H G 6.7337868
H G 6.7802268
H G 6.8266667
H G 6.8731066
H G 6.9195465
H G 6.9659864
H G 7.0124263
H G 7.0588662
H G 7.1053061
H G 7.1517460
H G 7.1981859
H G 7.2446259
H G 7.2910658
H G 7.3375057
H G 7.3839456
U G#m 7.4303855
B C# 7.4768254
B C# 7.5232653
B C# 7.5697052
B C# 7.6161451
B C# 7.6625850
B C# 7.7090249
B C# 7.7554649
B C# 7.8019048
B C# 7.8483447
B C# 7.8947846
B C# 7.9412245
B C# 7.9876644
B C# 8.0341043
B C# 8.0805442
B C# 8.1269841
B C# 8.1734240
B C# 8.2198639
B C# 8.2663039
B C# 8.3127438
B C# 8.3591837
B C# 8.4056236
B C# 8.4520635
B C# 8.4985034
B C# 8.5449433
B C# 8.5913832
B C# 8.6378231
B C# 8.6842630
B C# 8.7307029
B C# 8.7771429
B C# 8.8235828
B C# 8.8700227
B C# 8.9164626
B C# 8.9629025
B C# 9.0093424
B C# 9.0557823
B C# 9.1022222
B C# 9.1486621
B C# 9.1951020
B C# 9.2415420
B C# 9.2879819
B C# 9.3344218
B C# 9.3808617
B C# 9.4273016
B C# 9.4737415
B C# 9.5201814
B C# 9.5666213
B C# 9.6130612
B C# 9.6595011
B C# 9.7059410
B C# 9.7523810
B C# 9.7988209
B C# 9.8452608
B C# 9.8917007
B C# 9.9381406
B C# 9.9845805
B C# 10.0310204
B C# 10.0774603
B C# 10.1239002
B C# 10.1703401
B C# 10.2167800
B C# 10.2632200
B C# 10.3096599
B C# 10.3560998
B C# 10.4025397
B C# 10.4489796
B C# 10.4954195
B C# 10.5418594
B C# 10.5882993
B C# 10.6347392
B C# 10.6811791
B C# 10.7276190
B C# 10.7740590
B C# 10.8204989
B C# 10.8669388
B C# 10.9133787
B C# 10.9598186
B C# 11.0062585
B C# 11.0526984
B C# 11.0991383
B C# 11.1455782
B C# 11.1920181
B C# 11.2384580
B C# 11.2848980
B C# 11.3313379
B C# 11.3777778
B C# 11.4242177
B C# 11.4706576
B C# 11.5170975
B C# 11.5635374
B C# 11.6099773
B C# 11.6564172
B C# 11.7028571
B C# 11.7492971
B C# 11.7957370
B C# 11.8421769
B C# 11.8886168
B C# 11.9350567
B C# 11.9814966
B C# 12.0279365
B C# 12.0743764
B C# 12.1208163
B C# 12.1672562
B C# 12.2136961
B C# 12.2601361
B C# 12.3065760
B C# 12.3530159
B C# 12.3994558
B C# 12.4458957
B C# 12.4923356
B C# 12.5387755
B C# 12.5852154
B C# 12.6316553
B C# 12.6780952
B C# 12.7245351
B C# 12.7709751
B C# 12.8174150
B C# 12.8638549
B C# 12.9102948
B C# 12.9567347
B C# 13.0031746
B C# 13.0496145
B C# 13.0960544
B C# 13.1424943
B C# 13.1889342
B C# 13.2353741
B C# 13.2818141
B C# 13.3282540
B C# 13.3746939
B C# 13.4211338
B C# 13.4675737
B C# 13.5140136
B C# 13.5604535
B C# 13.6068934
B C# 13.6533333
B C# 13.6997732
B C# 13.7462132
B C# 13.7926531
B C# 13.8390930
B C# 13.8855329
B C# 13.9319728
B C# 13.9784127
B C# 14.0248526
B C# 14.0712925
B C# 14.1177324
B C# 14.1641723
B C# 14.2106122
B C# 14.2570522
B C# 14.3034921
B C# 14.3499320
B C# 14.3963719
B C# 14.4428118
B C# 14.4892517
B C# 14.5356916
B C# 14.5821315
B C# 14.6285714
B C# 14.6750113
