T Gm 0.0928798
H G 0.1393197
H G 0.1857596
H G 0.2321995
H G 0.2786395
H G 0.3250794
H G 0.3715193
H G 0.4179592
J A 0.4643991
J A 0.5108390
J A 0.5572789
J A 0.6037188
J A 0.6501587
J A 0.6965986
J A 0.7430385
J A 0.7894785
J A 0.8359184
J A 0.8823583
J A 0.9287982
J A 0.9752381
J A 1.0216780
J A 1.0681179
J A 1.1145578
J A 1.1609977
J A 1.2074376
J A 1.2538776
A C 1.3003175
A C 1.3467574
A C 1.3931973
A C 1.4396372
A C 1.4860771
A C 1.5325170
A C 1.5789569
A C 1.6253968
A C 1.6718367
A C 1.7182766
A C 1.7647166
A C 1.8111565
A C 1.8575964
A C 1.9040363
A C 1.9504762
A C 1.9969161
A C 2.0433560
A C 2.0897959
A C 2.1362358
A C 2.1826757
A C 2.2291156
A C 2.2755556
A C 2.3219955
A C 2.3684354
A C 2.4148753
A C 2.4613152
A C 2.5077551
A C 2.5541950
A C 2.6006349
A C 2.6470748
A C 2.6935147
A C 2.7399546
A C 2.7863946
A C 2.8328345
A C 2.8792744
A C 2.9257143
A C 2.9721542
A C 3.0185941
H G 3.0650340
H G 3.1114739
H G 3.1579138
H G 3.2043537
H G 3.2507937
H G 3.2972336
H G 3.3436735
H G 3.3901134
H G 3.4365533
H G 3.4829932
H G 3.5294331
H G 3.5758730
H G 3.6223129
H G 3.6687528
H G 3.7151927
H G 3.7616327
H G 3.8080726
H G 3.8545125
H G 3.9009524
H G 3.9473923
J A 3.9938322
J A 4.0402721
J A 4.0867120
J A 4.1331519
J A 4.1795918
J A 4.2260317
J A 4.2724717
J A 4.3189116
J A 4.3653515
J A 4.4117914
J A 4.4582313
J A 4.5046712
J A 4.5511111
J A 4.5975510
J A 4.6439909
J A 4.6904308
J A 4.7368707
J A 4.7833107
J A 4.8297506
J A 4.8761905
J A 4.9226304
J A 4.9690703
J A 5.0155102
J A 5.0619501
J A 5.1083900
J A 5.1548299
A C 5.2012698
A C 5.2477098
A C 5.2941497
A C 5.3405896
A C 5.3870295
A C 5.4334694
A C 5.4799093
A C 5.5263492
A C 5.5727891
A C 5.6192290
A C 5.6656689
H G 5.7121088
H G 5.7585488
H G 5.8049887
H G 5.8514286
H G 5.8978685
H G 5.9443084
H G 5.9907483
H G 6.0371882
H G 6.0836281
H G 6.1300680
H G 6.1765079
H G 6.2229478
H G 6.2693878
H G 6.3158277
H G 6.3622676
H G 6.4087075
H G 6.4551474
H G 6.5015873
H G 6.5480272
H G 6.5944671
H G 6.6409070
H G 6.6873469
H G 6.7337868
H G 6.7802268
H G 6.8266667
H G 6.8731066
H G 6.9195465
H G 6.9659864
H G 7.0124263
H G 7.0588662
H G 7.1053061
H G 7.1517460
H G 7.1981859
H G 7.2446259
H G 7.2910658
H G 7.3375057
H G 7.3839456
H G 7.4303855
H G 7.4768254
H G 7.5232653
H G 7.5697052
J A 7.6161451
J A 7.6625850
J A 7.7090249
J A 7.7554649
J A 7.8019048
J A 7.8483447
J A 7.8947846
J A 7.9412245
J A 7.9876644
J A 8.0341043
J A 8.0805442
J A 8.1269841
J A 8.1734240
J A 8.2198639
J A 8.2663039
J A 8.3127438
J A 8.3591837
J A 8.4056236
J A 8.4520635
J A 8.4985034
J A 8.5449433
J A 8.5913832
J A 8.6378231
J A 8.6842630
J A 8.7307029
J A 8.7771429
A C 8.8235828
A C 8.8700227
A C 8.9164626
A C 8.9629025
A C 9.0093424
A C 9.0557823
A C 9.1022222
A C 9.1486621
A C 9.1951020
A C 9.2415420
A C 9.2879819
A C 9.3344218
A C 9.3808617
A C 9.4273016
A C 9.4737415
A C 9.5201814
A C 9.5666213
A C 9.6130612
A C 9.6595011
A C 9.7059410
A C 9.7523810
A C 9.7988209
A C 9.8452608
A C 9.8917007
A C 9.9381406
A C 9.9845805
A C 10.0310204
A C 10.0774603
A C 10.1239002
A C 10.1703401
A C 10.2167800
A C 10.2632200
A C 10.3096599
A C 10.3560998
A C 10.4025397
A C 10.4489796
A C 10.4954195
H G 10.5418594
H G 10.5882993
H G 10.6347392
H G 10.6811791
H G 10.7276190
H G 10.7740590
H G 10.8204989
H G 10.8669388
H G 10.9133787
H G 10.9598186
H G 11.0062585
H G 11.0526984
H G 11.0991383
H G 11.1455782
H G 11.1920181
H G 11.2384580
H G 11.2848980
H G 11.3313379
H G 11.3777778
H G 11.4242177
H G 11.4706576
H G 11.5170975
J A 11.5635374
J A 11.6099773
J A 11.6564172
J A 11.7028571
J A 11.7492971
J A 11.7957370
J A 11.8421769
J A 11.8886168
J A 11.9350567
J A 11.9814966
J A 12.0279365
J A 12.0743764
J A 12.1208163
J A 12.1672562
J A 12.2136961
J A 12.2601361
J A 12.3065760
J A 12.3530159
J A 12.3994558
J A 12.4458957
J A 12.4923356
J A 12.5387755
J A 12.5852154
J A 12.6316553
A C 12.6780952
A C 12.7245351
A C 12.7709751
A C 12.8174150
A C 12.8638549
A C 12.9102948
A C 12.9567347
A C 13.0031746
A C 13.0496145
A C 13.0960544
A C 13.1424943
A C 13.1889342
A C 13.2353741
A C 13.2818141
A C 13.3282540
A C 13.3746939
A C 13.4211338
H G 13.4675737
H G 13.5140136
H G 13.5604535
H G 13.6068934
H G 13.6533333
H G 13.6997732
H G 13.7462132
H G 13.7926531
H G 13.8390930
H G 13.8855329
H G 13.9319728
H G 13.9784127
H G 14.0248526
H G 14.0712925
H G 14.1177324
H G 14.1641723
H G 14.2106122
H G 14.2570522
H G 14.3034921
H G 14.3499320
H G 14.3963719
H G 14.4428118
H G 14.4892517
H G 14.5356916
H G 14.5821315
H G 14.6285714
H G 14.6750113
H G 14.7214512
H G 14.7678912
H G 14.8143311
H G 14.8607710
H G 14.9072109
H G 14.9536508
H G 15.0000907
H G 15.0465306
J A 15.0929705
J A 15.1394104
J A 15.1858503
J A 15.2322902
J A 15.2787302
J A 15.3251701
J A 15.3716100
J A 15.4180499
J A 15.4644898
J A 15.5109297
J A 15.5573696
J A 15.6038095
J A 15.6502494
J A 15.6966893
J A 15.7431293
J A 15.7895692
J A 15.8360091
J A 15.8824490
J A 15.9288889
J A 15.9753288
J A 16.0217687
A C 16.0682086
A C 16.1146485
A C 16.1610884
A C 16.2075283
A C 16.2539683
A C 16.3004082
A C 16.3468481
A C 16.3932880
A C 16.4397279
A C 16.4861678
A C 16.5326077
A C 16.5790476
A C 16.6254875
A C 16.6719274
A C 16.7183673
A C 16.7648073
A C 16.8112472
A C 16.8576871
A C 16.9041270
A C 16.9505669
A C 16.9970068
A C 17.0434467
A C 17.0898866
A C 17.1363265
A C 17.1827664
A C 17.2292063
A C 17.2756463
A C 17.3220862
A C 17.3685261
A C 17.4149660
A C 17.4614059
A C 17.5078458
A C 17.5542857
A C 17.6007256
A C 17.6471655
A C 17.6936054
A C 17.7400454
A C 17.7864853
A C 17.8329252
A C 17.8793651
A C 17.9258050
A C 17.9722449
H G 18.0186848
H G 18.0651247
H G 18.1115646
H G 18.1580045
H G 18.2044444
H G 18.2508844
H G 18.2973243
H G 18.3437642
H G 18.3902041
H G 18.4366440
H G 18.4830839
H G 18.5295238
H G 18.5759637
H G 18.6224036
H G 18.6688435
H G 18.7152834
H G 18.7617234
H G 18.8081633
H G 18.8546032
H G 18.9010431
H G 18.9474830
H G 18.9939229
H G 19.0403628
J A 19.0868027
J A 19.1332426
J A 19.1796825
J A 19.2261224
J A 19.2725624
J A 19.3190023
J A 19.3654422
J A 19.4118821
J A 19.4583220
J A 19.5047619
J A 19.5512018
J A 19.5976417
J A 19.6440816
J A 19.6905215
J A 19.7369615
J A 19.7834014
J A 19.8298413
J A 19.8762812
J A 19.9227211
A C 19.9691610
A C 20.0156009
A C 20.0620408
A C 20.1084807
A C 20.1549206
A C 20.2013605
A C 20.2478005
A C 20.2942404
A C 20.3406803
A C 20.3871202
A C 20.4335601
A C 20.4800000
A C 20.5264399
A C 20.5728798
A C 20.6193197
A C 20.6657596
A C 20.7121995
A C 20.7586395
A C 20.8050794
A C 20.8515193
A C 20.8979592
A C 20.9443991
A C 20.9908390
A C 21.0372789
A C 21.0837188
A C 21.1301587
A C 21.1765986
H G 21.2230385
H G 21.2694785
H G 21.3159184
H G 21.3623583
H G 21.4087982
H G 21.4552381
H G 21.5016780
H G 21.5481179
H G 21.5945578
H G 21.6409977
H G 21.6874376
H G 21.7338776
H G 21.7803175
H G 21.8267574
H G 21.8731973
H G 21.9196372
H G 21.9660771
H G 22.0125170
H G 22.0589569
H G 22.1053968
H G 22.1518367
H G 22.1982766
H G 22.2447166
H G 22.2911565
H G 22.3375964
H G 22.3840363
H G 22.4304762
H G 22.4769161
H G 22.5233560
H G 22.5697959
H G 22.6162358
H G 22.6626757
H G 22.7091156
H G 22.7555556
J A 22.8019955
J A 22.8484354
J A 22.8948753
J A 22.9413152
J A 22.9877551
J A 23.0341950
J A 23.0806349
J A 23.1270748
J A 23.1735147
J A 23.2199546
J A 23.2663946
J A 23.3128345
J A 23.3592744
J A 23.4057143
J A 23.4521542
J A 23.4985941
J A 23.5450340
J A 23.5914739
J A 23.6379138
J A 23.6843537
J A 23.7307937
J A 23.7772336
A C 23.8236735
A C 23.8701134
A C 23.9165533
A C 23.9629932
A C 24.0094331
A C 24.0558730
A C 24.1023129
A C 24.1487528
A C 24.1951927
A C 24.2416327
A C 24.2880726
A C 24.3345125
A C 24.3809524
A C 24.4273923
A C 24.4738322
A C 24.5202721
A C 24.5667120
A C 24.6131519
A C 24.6595918
A C 24.7060317
A C 24.7524717
A C 24.7989116
A C 24.8453515
A C 24.8917914
A C 24.9382313
A C 24.9846712
A C 25.0311111
A C 25.0775510
A C 25.1239909
A C 25.1704308
A C 25.2168707
A C 25.2633107
A C 25.3097506
A C 25.3561905
A C 25.4026304
A C 25.4490703
A C 25.4955102
A C 25.5419501
H G 25.5883900
H G 25.6348299
H G 25.6812698
H G 25.7277098
H G 25.7741497
H G 25.8205896
H G 25.8670295
H G 25.9134694
H G 25.9599093
H G 26.0063492
H G 26.0527891
H G 26.0992290
H G 26.1456689
H G 26.1921088
H G 26.2385488
H G 26.2849887
H G 26.3314286
H G 26.3778685
H G 26.4243084
J A 26.4707483
J A 26.5171882
J A 26.5636281
J A 26.6100680
J A 26.6565079
J A 26.7029478
J A 26.7493878
J A 26.7958277
J A 26.8422676
J A 26.8887075
J A 26.9351474
J A 26.9815873
J A 27.0280272
J A 27.0744671
J A 27.1209070
J A 27.1673469
J A 27.2137868
J A 27.2602268
J A 27.3066667
J A 27.3531066
J A 27.3995465
J A 27.4459864
J A 27.4924263
J A 27.5388662
J A 27.5853061
J A 27.6317460
A C 27.6781859
A C 27.7246259
A C 27.7710658
A C 27.8175057
A C 27.8639456
A C 27.9103855
A C 27.9568254
A C 28.0032653
A C 28.0497052
A C 28.0961451
A C 28.1425850
H G 28.1890249
H G 28.2354649
H G 28.2819048
H G 28.3283447
H G 28.3747846
H G 28.4212245
H G 28.4676644
H G 28.5141043
H G 28.5605442
H G 28.6069841
H G 28.6534240
H G 28.6998639
H G 28.7463039
H G 28.7927438
H G 28.8391837
H G 28.8856236
H G 28.9320635
H G 28.9785034
H G 29.0249433
H G 29.0713832
H G 29.1178231
H G 29.1642630
H G 29.2107029
H G 29.2571429
H G 29.3035828
H G 29.3500227
H G 29.3964626
H G 29.4429025
H G 29.4893424
H G 29.5357823
H G 29.5822222
H G 29.6286621
H G 29.6751020
H G 29.7215420
H G 29.7679819
H G 29.8144218
H G 29.8608617
H G 29.9073016
H G 29.9537415
H G 30.0001814
H G 30.0466213
J A 30.0930612
J A 30.1395011
J A 30.1859410
J A 30.2323810
J A 30.2788209
J A 30.3252608
J A 30.3717007
J A 30.4181406
J A 30.4645805
J A 30.5110204
J A 30.5574603
J A 30.6039002
J A 30.6503401
J A 30.6967800
J A 30.7432200
J A 30.7896599
J A 30.8360998
J A 30.8825397
J A 30.9289796
J A 30.9754195
J A 31.0218594
J A 31.0682993
J A 31.1147392
A C 31.1611791
A C 31.2076190
A C 31.2540590
A C 31.3004989
A C 31.3469388
A C 31.3933787
A C 31.4398186
A C 31.4862585
A C 31.5326984
A C 31.5791383
A C 31.6255782
H G 31.6720181
H G 31.7184580
H G 31.7648980
H G 31.8113379
H G 31.8577778
J A 31.9042177
J A 31.9506576
J A 31.9970975
J A 32.0435374
J A 32.0899773
J A 32.1364172
J A 32.1828571
J A 32.2292971
J A 32.2757370
J A 32.3221769
J A 32.3686168
J A 32.4150567
J A 32.4614966
J A 32.5079365
J A 32.5543764
J A 32.6008163
J A 32.6472562
J A 32.6936961
J A 32.7401361
J A 32.7865760
J A 32.8330159
J A 32.8794558
J A 32.9258957
A C 32.9723356
A C 33.0187755
A C 33.0652154
A C 33.1116553
A C 33.1580952
A C 33.2045351
A C 33.2509751
A C 33.2974150
A C 33.3438549
A C 33.3902948
A C 33.4367347
A C 33.4831746
A C 33.5296145
H G 33.5760544
H G 33.6224943
H G 33.6689342
H G 33.7153741
H G 33.7618141
J A 33.8082540
J A 33.8546939
J A 33.9011338
J A 33.9475737
J A 33.9940136
J A 34.0404535
J A 34.0868934
J A 34.1333333
J A 34.1797732
J A 34.2262132
J A 34.2726531
J A 34.3190930
J A 34.3655329
J A 34.4119728
J A 34.4584127
J A 34.5048526
J A 34.5512925
J A 34.5977324
J A 34.6441723
J A 34.6906122
J A 34.7370522
J A 34.7834921
J A 34.8299320
J A 34.8763719
A C 34.9228118
A C 34.9692517
A C 35.0156916
A C 35.0621315
A C 35.1085714
A C 35.1550113
A C 35.2014512
A C 35.2478912
A C 35.2943311
A C 35.3407710
A C 35.3872109
H G 35.4336508
H G 35.4800907
H G 35.5265306
H G 35.5729705
H G 35.6194104
J A 35.6658503
J A 35.7122902
J A 35.7587302
J A 35.8051701
J A 35.8516100
J A 35.8980499
J A 35.9444898
J A 35.9909297
J A 36.0373696
J A 36.0838095
J A 36.1302494
J A 36.1766893
J A 36.2231293
J A 36.2695692
J A 36.3160091
J A 36.3624490
J A 36.4088889
J A 36.4553288
J A 36.5017687
J A 36.5482086
J A 36.5946485
