R Fm 0.0928798
A C 0.1393197
A C 0.1857596
A C 0.4643991
A C 0.5108390
A C 0.5572789
A C 0.6037188
A C 0.6501587
A C 0.9287982
A C 0.9752381
A C 1.0216780
A C 1.0681179
A C 1.1145578
A C 1.1609977
A C 1.2074376
A C 1.2538776
A C 1.3003175
A C 1.3931973
A C 1.4396372
A C 1.4860771
A C 1.6253968
A C 1.6718367
A C 1.7182766
A C 1.7647166
A C 1.8111565
A C 2.0897959
A C 2.1362358
A C 2.1826757
A C 2.2291156
A C 2.3219955
A C 2.3684354
A C 2.4148753
A C 2.4613152
A C 2.5077551
A C 2.7863946
A C 2.8328345
A C 2.8792744
A C 2.9257143
A C 2.9721542
A C 3.0185941
A C 3.0650340
A C 3.1114739
A C 3.1579138
A C 3.2507937
A C 3.2972336
A C 3.3436735
A C 3.3901134
A C 3.4365533
A C 3.4829932
A C 3.5294331
A C 3.5758730
A C 3.6223129
J A 3.7616327
J A 3.8080726
J A 3.8545125
J A 3.9009524
J A 3.9473923
J A 3.9938322
J A 4.0402721
J A 4.0867120
J A 4.1331519
J A 4.1795918
J A 4.2260317
J A 4.2724717
H G 4.3189116
H G 4.3653515
H G 4.4117914
H G 4.4582313
J A 4.5046712
J A 4.5511111
J A 4.5975510
J A 4.6439909
J A 4.6904308
J A 4.7368707
J A 4.7833107
J A 4.8297506
J A 4.8761905
A C 4.9226304
A C 4.9690703
A C 5.0155102
A C 5.0619501
A C 5.1083900
A C 5.1548299
A C 5.2012698
A C 5.2477098
A C 5.2941497
A C 5.3405896
T Gm 5.3870295
H G 5.4334694
H G 5.4799093
H G 5.5263492
H G 5.5727891
H G 5.6192290
J A 5.6656689
J A 5.7121088
J A 5.7585488
J A 5.8049887
J A 5.8514286
J A 5.8978685
J A 5.9443084
J A 5.9907483
J A 6.0371882
J A 6.0836281
J A 6.1300680
H G 6.1765079
H G 6.2229478
H G 6.2693878
H G 6.3158277
H G 6.3622676
J A 6.4087075
J A 6.4551474
J A 6.5015873
J A 6.5480272
J A 6.5944671
J A 6.6409070
A C 6.6873469
A C 6.7337868
A C 6.7802268
A C 6.8266667
A C 6.8731066
A C 6.9195465
A C 6.9659864
A C 7.0124263
A C 7.0588662
A C 7.1053061
A C 7.1517460
A C 7.1981859
A C 7.2446259
A C 7.2910658
H G 7.3375057
H G 7.3839456
H G 7.4303855
H G 7.4768254
J A 7.5232653
J A 7.5697052
J A 7.6161451
J A 7.6625850
J A 7.7090249
J A 7.7554649
J A 7.8019048
J A 7.8483447
J A 7.8947846
J A 7.9412245
J A 7.9876644
H G 8.0341043
H G 8.0805442
H G 8.1269841
H G 8.1734240
J A 8.2198639
J A 8.2663039
J A 8.3127438
J A 8.3591837
J A 8.4056236
J A 8.4520635
J A 8.4985034
J A 8.5449433
J A 8.5913832
J A 8.6378231
A C 8.6842630
A C 8.7307029
A C 8.7771429
A C 8.8235828
A C 8.8700227
A C 8.9164626
A C 8.9629025
A C 9.0093424
A C 9.0557823
A C 9.1022222
T Gm 9.1486621
H G 9.1951020
H G 9.2415420
H G 9.2879819
H G 9.3344218
H G 9.3808617
J A 9.4273016
J A 9.4737415
J A 9.5201814
J A 9.5666213
J A 9.6130612
J A 9.6595011
J A 9.7059410
J A 9.7523810
J A 9.7988209
J A 9.8452608
H G 9.8917007
H G 9.9381406
H G 9.9845805
H G 10.0310204
H G 10.0774603
H G 10.1239002
J A 10.1703401
J A 10.2167800
J A 10.2632200
J A 10.3096599
J A 10.3560998
J A 10.4025397
A C 10.4489796
A C 10.4954195
A C 10.5418594
A C 10.5882993
A C 10.6347392
A C 10.6811791
A C 10.7276190
A C 10.7740590
A C 10.8204989
A C 10.8669388
A C 10.9133787
A C 10.9598186
A C 11.0062585
H G 11.0526984
H G 11.0991383
H G 11.1455782
H G 11.1920181
H G 11.2384580
J A 11.2848980
J A 11.3313379
J A 11.3777778
J A 11.4242177
J A 11.4706576
J A 11.5170975
J A 11.5635374
J A 11.6099773
J A 11.6564172
J A 11.7028571
J A 11.7492971
H G 11.7957370
H G 11.8421769
H G 11.8886168
H G 11.9350567
J A 11.9814966
J A 12.0279365
J A 12.0743764
J A 12.1208163
J A 12.1672562
J A 12.2136961
J A 12.2601361
J A 12.3065760
J A 12.3530159
J A 12.3994558
A C 12.4458957
A C 12.4923356
A C 12.5387755
A C 12.5852154
A C 12.6316553
A C 12.6780952
A C 12.7245351
A C 12.7709751
A C 12.8174150
A C 12.8638549
H G 12.9102948
H G 12.9567347
H G 13.0031746
H G 13.0496145
H G 13.0960544
H G 13.1424943
J A 13.1889342
J A 13.2353741
J A 13.2818141
J A 13.3282540
J A 13.3746939
J A 13.4211338
J A 13.4675737
J A 13.5140136
J A 13.5604535
J A 13.6068934
H G 13.6533333
H G 13.6997732
H G 13.7462132
H G 13.7926531
H G 13.8390930
J A 13.8855329
J A 13.9319728
J A 13.9784127
J A 14.0248526
J A 14.0712925
J A 14.1177324
J A 14.1641723
A C 14.2106122
A C 14.2570522
A C 14.3034921
A C 14.3499320
A C 14.3963719
A C 14.4428118
A C 14.4892517
A C 14.5356916
A C 14.5821315
A C 14.6285714
A C 14.6750113
A C 14.7214512
A C 14.7678912
H G 14.8143311
H G 14.8607710
H G 14.9072109
H G 14.9536508
H G 15.0000907
J A 15.0465306
J A 15.0929705
J A 15.1394104
J A 15.1858503
J A 15.2322902
J A 15.2787302
J A 15.3251701
J A 15.3716100
J A 15.4180499
J A 15.4644898
J A 15.5109297
H G 15.5573696
H G 15.6038095
H G 15.6502494
H G 15.6966893
J A 15.7431293
J A 15.7895692
J A 15.8360091
J A 15.8824490
J A 15.9288889
J A 15.9753288
J A 16.0217687
J A 16.0682086
J A 16.1146485
J A 16.1610884
A C 16.2075283
A C 16.2539683
A C 16.3004082
A C 16.3468481
A C 16.3932880
A C 16.4397279
A C 16.4861678
A C 16.5326077
A C 16.5790476
A C 16.6254875
H G 16.6719274
H G 16.7183673
