W A#m 0.0928798
G F# 0.1393197
B C# 0.1857596
B C# 0.2321995
B C# 0.2786395
T Gm 0.3250794
H G 0.3715193
H G 0.4179592
H G 0.4643991
H G 0.5108390
H G 0.5572789
H G 0.6037188
H G 0.6501587
H G 0.6965986
H G 0.7430385
H G 0.7894785
H G 0.8359184
H G 0.8823583
H G 0.9287982
H G 0.9752381
H G 1.0216780
H G 1.0681179
H G 1.1145578
H G 1.1609977
H G 1.2074376
H G 1.2538776
H G 1.3003175
J A 1.3467574
J A 1.3931973
J A 1.4396372
J A 1.4860771
J A 1.5325170
J A 1.5789569
J A 1.6253968
J A 1.6718367
J A 1.7182766
J A 1.7647166
J A 1.8111565
J A 1.8575964
J A 1.9040363
J A 1.9504762
J A 1.9969161
J A 2.0433560
J A 2.0897959
J A 2.1362358
J A 2.1826757
J A 2.2291156
J A 2.2755556
J A 2.3219955
J A 2.3684354
J A 2.4148753
J A 2.4613152
J A 2.5077551
J A 2.5541950
J A 2.6006349
J A 2.6470748
J A 2.6935147
J A 2.7399546
J A 2.7863946
J A 2.8328345
J A 2.8792744
J A 2.9257143
J A 2.9721542
J A 3.0185941
J A 3.0650340
J A 3.1114739
J A 3.1579138
J A 3.2043537
J A 3.2507937
J A 3.2972336
J A 3.3436735
J A 3.3901134
J A 3.4365533
J A 3.4829932
J A 3.5294331
J A 3.5758730
J A 3.6223129
J A 3.6687528
J A 3.7151927
J A 3.7616327
J A 3.8080726
J A 3.8545125
J A 3.9009524
J A 3.9473923
J A 3.9938322
J A 4.0402721
J A 4.0867120
J A 4.1331519
J A 4.1795918
J A 4.2260317
J A 4.2724717
J A 4.3189116
J A 4.3653515
J A 4.4117914
J A 4.4582313
J A 4.5046712
J A 4.5511111
J A 4.5975510
J A 4.6439909
J A 4.6904308
J A 4.7368707
J A 4.7833107
J A 4.8297506
J A 4.8761905
J A 4.9226304
J A 4.9690703
J A 5.0155102
J A 5.0619501
J A 5.1083900
J A 5.1548299
J A 5.2012698
J A 5.2477098
J A 5.2941497
J A 5.3405896
J A 5.3870295
J A 5.4334694
J A 5.4799093
J A 5.5263492
J A 5.5727891
J A 5.6192290
J A 5.6656689
J A 5.7121088
J A 5.7585488
J A 5.8049887
J A 5.8514286
J A 5.8978685
J A 5.9443084
J A 5.9907483
J A 6.0371882
J A 6.0836281
J A 6.1300680
J A 6.1765079
J A 6.2229478
J A 6.2693878
J A 6.3158277
J A 6.3622676
J A 6.4087075
J A 6.4551474
J A 6.5015873
J A 6.5480272
J A 6.5944671
J A 6.6409070
J A 6.6873469
J A 6.7337868
J A 6.7802268
J A 6.8266667
J A 6.8731066
J A 6.9195465
J A 6.9659864
J A 7.0124263
J A 7.0588662
J A 7.1053061
J A 7.1517460
J A 7.1981859
J A 7.2446259
J A 7.2910658
J A 7.3375057
J A 7.3839456
J A 7.4303855
J A 7.4768254
J A 7.5232653
J A 7.5697052
J A 7.6161451
J A 7.6625850
J A 7.7090249
J A 7.7554649
J A 7.8019048
J A 7.8483447
J A 7.8947846
J A 7.9412245
J A 7.9876644
J A 8.0341043
J A 8.0805442
J A 8.1269841
J A 8.1734240
J A 8.2198639
J A 8.2663039
J A 8.3127438
J A 8.3591837
J A 8.4056236
J A 8.4520635
J A 8.4985034
J A 8.5449433
J A 8.5913832
J A 8.6378231
J A 8.6842630
J A 8.7307029
J A 8.7771429
J A 8.8235828
J A 8.8700227
J A 8.9164626
J A 8.9629025
J A 9.0093424
J A 9.0557823
J A 9.1022222
J A 9.1486621
J A 9.1951020
J A 9.2415420
J A 9.2879819
J A 9.3344218
J A 9.3808617
J A 9.4273016
J A 9.4737415
J A 9.5201814
J A 9.5666213
J A 9.6130612
J A 9.6595011
J A 9.7059410
J A 9.7523810
J A 9.7988209
J A 9.8452608
J A 9.8917007
J A 9.9381406
J A 9.9845805
J A 10.0310204
J A 10.0774603
J A 10.1239002
J A 10.1703401
J A 10.2167800
J A 10.2632200
J A 10.3096599
J A 10.3560998
J A 10.4025397
J A 10.4489796
J A 10.4954195
J A 10.5418594
J A 10.5882993
J A 10.6347392
J A 10.6811791
J A 10.7276190
J A 10.7740590
J A 10.8204989
J A 10.8669388
J A 10.9133787
J A 10.9598186
J A 11.0062585
J A 11.0526984
J A 11.0991383
J A 11.1455782
J A 11.1920181
J A 11.2384580
J A 11.2848980
J A 11.3313379
J A 11.3777778
J A 11.4242177
J A 11.4706576
J A 11.5170975
J A 11.5635374
J A 11.6099773
J A 11.6564172
J A 11.7028571
J A 11.7492971
J A 11.7957370
J A 11.8421769
J A 11.8886168
J A 11.9350567
J A 11.9814966
J A 12.0279365
J A 12.0743764
J A 12.1208163
J A 12.1672562
J A 12.2136961
J A 12.2601361
J A 12.3065760
J A 12.3530159
J A 12.3994558
J A 12.4458957
J A 12.4923356
J A 12.5387755
J A 12.5852154
J A 12.6316553
J A 12.6780952
J A 12.7245351
J A 12.7709751
J A 12.8174150
J A 12.8638549
J A 12.9102948
J A 12.9567347
J A 13.0031746
J A 13.0496145
J A 13.0960544
J A 13.1424943
J A 13.1889342
J A 13.2353741
J A 13.2818141
J A 13.3282540
J A 13.3746939
J A 13.4211338
J A 13.4675737
J A 13.5140136
J A 13.5604535
J A 13.6068934
J A 13.6533333
J A 13.6997732
J A 13.7462132
J A 13.7926531
J A 13.8390930
J A 13.8855329
J A 13.9319728
J A 13.9784127
J A 14.0248526
J A 14.0712925
J A 14.1177324
J A 14.1641723
J A 14.2106122
J A 14.2570522
J A 14.3034921
J A 14.3499320
J A 14.3963719
J A 14.4428118
J A 14.4892517
J A 14.5356916
J A 14.5821315
J A 14.6285714
J A 14.6750113
J A 14.7214512
J A 14.7678912
J A 14.8143311
J A 14.8607710
J A 14.9072109
J A 14.9536508
A C 15.0000907
A C 15.0465306
A C 15.0929705
A C 15.1394104
A C 15.1858503
A C 15.2322902
A C 15.2787302
A C 15.3251701
A C 15.3716100
A C 15.4180499
A C 15.4644898
A C 15.5109297
A C 15.5573696
A C 15.6038095
A C 15.6502494
A C 15.6966893
A C 15.7431293
A C 15.7895692
A C 15.8360091
A C 15.8824490
A C 15.9288889
A C 15.9753288
A C 16.0217687
A C 16.0682086
A C 16.1146485
A C 16.1610884
A C 16.2075283
A C 16.2539683
A C 16.3004082
A C 16.3468481
A C 16.3932880
A C 16.4397279
A C 16.4861678
A C 16.5326077
A C 16.5790476
A C 16.6254875
A C 16.6719274
A C 16.7183673
A C 16.7648073
A C 16.8112472
A C 16.8576871
A C 16.9041270
A C 16.9505669
A C 16.9970068
A C 17.0434467
A C 17.0898866
A C 17.1363265
A C 17.1827664
A C 17.2292063
A C 17.2756463
A C 17.3220862
A C 17.3685261
A C 17.4149660
A C 17.4614059
A C 17.5078458
A C 17.5542857
A C 17.6007256
A C 17.6471655
A C 17.6936054
A C 17.7400454
A C 17.7864853
A C 17.8329252
A C 17.8793651
A C 17.9258050
A C 17.9722449
A C 18.0186848
O Dm 18.0651247
O Dm 18.1115646
O Dm 18.1580045
O Dm 18.2044444
O Dm 18.2508844
O Dm 18.2973243
O Dm 18.3437642
O Dm 18.3902041
O Dm 18.4366440
O Dm 18.4830839
O Dm 18.5295238
O Dm 18.5759637
O Dm 18.6224036
O Dm 18.6688435
O Dm 18.7152834
O Dm 18.7617234
O Dm 18.8081633
O Dm 18.8546032
O Dm 18.9010431
O Dm 18.9474830
O Dm 18.9939229
O Dm 19.0403628
O Dm 19.0868027
O Dm 19.1332426
O Dm 19.1796825
O Dm 19.2261224
O Dm 19.2725624
O Dm 19.3190023
O Dm 19.3654422
O Dm 19.4118821
