B C# 0.0928798
J A 0.1393197
J A 0.1857596
J A 0.2321995
J A 0.2786395
J A 0.3250794
J A 0.3715193
J A 0.4179592
J A 0.4643991
J A 0.5108390
T Gm 0.5572789
T Gm 0.6037188
T Gm 0.6501587
D D# 0.6965986
P D#m 0.7430385
P D#m 0.7894785
P D#m 0.8359184
P D#m 0.8823583
P D#m 0.9287982
P D#m 0.9752381
P D#m 1.0216780
P D#m 1.0681179
P D#m 1.1145578
P D#m 1.1609977
P D#m 1.2074376
P D#m 1.2538776
P D#m 1.3003175
P D#m 1.3467574
P D#m 1.3931973
P D#m 1.4396372
P D#m 1.4860771
P D#m 1.5325170
P D#m 1.5789569
P D#m 1.6253968
P D#m 1.6718367
P D#m 1.7182766
P D#m 1.7647166
P D#m 1.8111565
P D#m 1.8575964
P D#m 1.9040363
P D#m 1.9504762
P D#m 1.9969161
P D#m 2.0433560
P D#m 2.0897959
P D#m 2.1362358
P D#m 2.1826757
P D#m 2.2291156
P D#m 2.2755556
P D#m 2.3219955
P D#m 2.3684354
P D#m 2.4148753
P D#m 2.4613152
P D#m 2.5077551
P D#m 2.5541950
P D#m 2.6006349
J A 2.6470748
J A 2.6935147
J A 2.7399546
J A 2.7863946
J A 2.8328345
J A 2.8792744
J A 2.9257143
J A 2.9721542
J A 3.0185941
J A 3.0650340
J A 3.1114739
J A 3.1579138
J A 3.2043537
J A 3.2507937
J A 3.2972336
J A 3.3436735
J A 3.3901134
J A 3.4365533
J A 3.4829932
J A 3.5294331
J A 3.5758730
J A 3.6223129
J A 3.6687528
J A 3.7151927
J A 3.7616327
J A 3.8080726
J A 3.8545125
J A 3.9009524
J A 3.9473923
J A 3.9938322
J A 4.0402721
J A 4.0867120
J A 4.1331519
J A 4.1795918
J A 4.2260317
J A 4.2724717
J A 4.3189116
J A 4.3653515
J A 4.4117914
J A 4.4582313
J A 4.5046712
J A 4.5511111
J A 4.5975510
J A 4.6439909
J A 4.6904308
J A 4.7368707
J A 4.7833107
J A 4.8297506
J A 4.8761905
J A 4.9226304
J A 4.9690703
J A 5.0155102
J A 5.0619501
J A 5.1083900
J A 5.1548299
J A 5.2012698
J A 5.2477098
J A 5.2941497
J A 5.3405896
J A 5.3870295
J A 5.4334694
J A 5.4799093
J A 5.5263492
J A 5.5727891
J A 5.6192290
J A 5.6656689
J A 5.7121088
J A 5.7585488
J A 5.8049887
J A 5.8514286
J A 5.8978685
J A 5.9443084
J A 5.9907483
